# English nouns for number normalization
# Format: noun,gender,form,singular,plurals (pipe-separated)
# gender: m=masculine, f=feminine, n=neuter
# form: o=ordinal, c=cardinal
#
# Ordinal triggers (chapter, page, etc.)
chapter,m,o,chapter,chapters
page,m,o,page,pages
part,m,o,part,parts
section,m,o,section,sections
volume,m,o,volume,volumes
book,m,o,book,books
episode,m,o,episode,episodes
act,m,o,act,acts
scene,m,o,scene,scenes
lesson,m,o,lesson,lessons
step,m,o,step,steps
level,m,o,level,levels
floor,m,o,floor,floors
grade,m,o,grade,grades
verse,m,o,verse,verses
stanza,m,o,stanza,stanzas
paragraph,m,o,paragraph,paragraphs
article,m,o,article,articles
item,m,o,item,items
number,m,o,number,numbers
figure,m,o,figure,figures
table,m,o,table,tables
chart,m,o,chart,charts
appendix,m,o,appendix,appendices|appendixes
exhibit,m,o,exhibit,exhibits
round,m,o,round,rounds
quarter,m,o,quarter,quarters
half,m,o,half,halves
inning,m,o,inning,innings
period,m,o,period,periods
set,m,o,set,sets
game,m,o,game,games
match,m,o,match,matches
race,m,o,race,races
lap,m,o,lap,laps
wave,m,o,wave,waves
phase,m,o,phase,phases
stage,m,o,stage,stages
tier,m,o,tier,tiers
rank,m,o,rank,ranks
place,m,o,place,places
position,m,o,position,positions
#
# Cardinal triggers (quantities)
dollar,m,c,dollar,dollars
cent,m,c,cent,cents
pound,m,c,pound,pounds
euro,m,c,euro,euros
yen,m,c,yen,yen
ruble,m,c,ruble,rubles
year,m,c,year,years
month,m,c,month,months
week,m,c,week,weeks
day,m,c,day,days
hour,m,c,hour,hours
minute,m,c,minute,minutes
second,m,c,second,seconds
millisecond,m,c,millisecond,milliseconds
percent,m,c,percent,percents
mile,m,c,mile,miles
kilometer,m,c,kilometer,kilometers
meter,m,c,meter,meters
centimeter,m,c,centimeter,centimeters
millimeter,m,c,millimeter,millimeters
foot,m,c,foot,feet
inch,m,c,inch,inches
yard,m,c,yard,yards
liter,m,c,liter,liters
gallon,m,c,gallon,gallons
ounce,m,c,ounce,ounces
gram,m,c,gram,grams
kilogram,m,c,kilogram,kilograms
ton,m,c,ton,tons
pound,m,c,pound,pounds
calorie,m,c,calorie,calories
degree,m,c,degree,degrees
watt,m,c,watt,watts
volt,m,c,volt,volts
ampere,m,c,ampere,amperes
byte,m,c,byte,bytes
kilobyte,m,c,kilobyte,kilobytes
megabyte,m,c,megabyte,megabytes
gigabyte,m,c,gigabyte,gigabytes
terabyte,m,c,terabyte,terabytes
pixel,m,c,pixel,pixels
person,m,c,person,people|persons
man,m,c,man,men
woman,f,c,woman,women
child,m,c,child,children
kid,m,c,kid,kids
soldier,m,c,soldier,soldiers
player,m,c,player,players
point,m,c,point,points
goal,m,c,goal,goals
score,m,c,score,scores
vote,m,c,vote,votes
copy,m,c,copy,copies
piece,m,c,piece,pieces
unit,m,c,unit,units
item,m,c,item,items
time,m,c,time,times
attempt,m,c,attempt,attempts
try,m,c,try,tries
shot,m,c,shot,shots
hit,m,c,hit,hits
miss,m,c,miss,misses
win,m,c,win,wins
loss,m,c,loss,losses
draw,m,c,draw,draws
