# Russian nouns for number normalization
# Format: noun,gender,form,singular,plurals (pipe-separated)
# gender: m=masculine, f=feminine, n=neuter
# form: o=ordinal, c=cardinal
#
# Ordinal triggers (feminine)
глава,f,o,глава,главы|глав
страница,f,o,страница,страницы|страниц
часть,f,o,часть,части|частей
книга,f,o,книга,книги|книг
серия,f,o,серия,серии|серий
сцена,f,o,сцена,сцены|сцен
строфа,f,o,строфа,строфы|строф
строка,f,o,строка,строки|строк
статья,f,o,статья,статьи|статей
таблица,f,o,таблица,таблицы|таблиц
картинка,f,o,картинка,картинки|картинок
волна,f,o,волна,волны|волн
фаза,f,o,фаза,фазы|фаз
стадия,f,o,стадия,стадии|стадий
позиция,f,o,позиция,позиции|позиций
#
# Ordinal triggers (masculine)
том,m,o,том,тома|томов
раздел,m,o,раздел,раздела|разделов
акт,m,o,акт,акта|актов
эпизод,m,o,эпизод,эпизода|эпизодов
урок,m,o,урок,урока|уроков
этаж,m,o,этаж,этажа|этажей
класс,m,o,класс,класса|классов
уровень,m,o,уровень,уровня|уровней
шаг,m,o,шаг,шага|шагов
параграф,m,o,параграф,параграфа|параграфов
пункт,m,o,пункт,пункта|пунктов
номер,m,o,номер,номера|номеров
рисунок,m,o,рисунок,рисунка|рисунков
график,m,o,график,графика|графиков
раунд,m,o,раунд,раунда|раундов
период,m,o,период,периода|периодов
тайм,m,o,тайм,тайма|таймов
сет,m,o,сет,сета|сетов
матч,m,o,матч,матча|матчей
забег,m,o,забег,забега|забегов
круг,m,o,круг,круга|кругов
этап,m,o,этап,этапа|этапов
ранг,m,o,ранг,ранга|рангов
#
# Ordinal triggers (neuter)
место,n,o,место,места|мест
действие,n,o,действие,действия|действий
приложение,n,o,приложение,приложения|приложений
#
# Cardinal triggers (masculine)
рубль,m,c,рубль,рубля|рублей
доллар,m,c,доллар,доллара|долларов
год,m,c,год,года|лет
месяц,m,c,месяц,месяца|месяцев
день,m,c,день,дня|дней
час,m,c,час,часа|часов
человек,m,c,человек,человека|человек
раз,m,c,раз,раза|раз
процент,m,c,процент,процента|процентов
километр,m,c,километр,километра|километров
метр,m,c,метр,метра|метров
сантиметр,m,c,сантиметр,сантиметра|сантиметров
миллиметр,m,c,миллиметр,миллиметра|миллиметров
литр,m,c,литр,литра|литров
грамм,m,c,грамм,грамма|граммов
килограмм,m,c,килограмм,килограмма|килограммов
ватт,m,c,ватт,ватта|ватт
вольт,m,c,вольт,вольта|вольт
байт,m,c,байт,байта|байт
килобайт,m,c,килобайт,килобайта|килобайт
мегабайт,m,c,мегабайт,мегабайта|мегабайт
гигабайт,m,c,гигабайт,гигабайта|гигабайт
терабайт,m,c,терабайт,терабайта|терабайт
пиксель,m,c,пиксель,пикселя|пикселей
солдат,m,c,солдат,солдата|солдат
игрок,m,c,игрок,игрока|игроков
гол,m,c,гол,гола|голов
очко,n,c,очко,очка|очков
голос,m,c,голос,голоса|голосов
экземпляр,m,c,экземпляр,экземпляра|экземпляров
выстрел,m,c,выстрел,выстрела|выстрелов
удар,m,c,удар,удара|ударов
#
# Cardinal triggers (feminine)
копейка,f,c,копейка,копейки|копеек
минута,f,c,минута,минуты|минут
секунда,f,c,секунда,секунды|секунд
неделя,f,c,неделя,недели|недель
штука,f,c,штука,штуки|штук
миля,f,c,миля,мили|миль
тонна,f,c,тонна,тонны|тонн
калория,f,c,калория,калории|калорий
попытка,f,c,попытка,попытки|попыток
победа,f,c,победа,победы|побед
ничья,f,c,ничья,ничьи|ничьих
#
# Cardinal triggers (neuter)
евро,n,c,евро,евро
яблоко,n,c,яблоко,яблока|яблок
окно,n,c,окно,окна|окон
слово,n,c,слово,слова|слов
письмо,n,c,письмо,письма|писем
поражение,n,c,поражение,поражения|поражений
