# Latin letters pronunciation in Russian
# Format: pattern,replacement_plain,replacement_ssml,comment
# This file handles Latin letters/abbreviations that appear in Russian text
#
# Single Latin letters (uppercase)
\bA\b,эй,+эй,Latin letter A
\bB\b,би,б+и,Latin letter B
\bC\b,си,с+и,Latin letter C
\bD\b,ди,д+и,Latin letter D
\bE\b,и,+и,Latin letter E
\bF\b,эф,+эф,Latin letter F
\bG\b,джи,дж+и,Latin letter G
\bH\b,эйч,+эйч,Latin letter H
\bI\b,ай,+ай,Latin letter I
\bJ\b,джей,дж+ей,Latin letter J
\bK\b,кей,к+ей,Latin letter K
\bL\b,эл,+эл,Latin letter L
\bM\b,эм,+эм,Latin letter M
\bN\b,эн,+эн,Latin letter N
\bO\b,оу,+оу,Latin letter O
\bP\b,пи,п+и,Latin letter P
\bQ\b,кью,кь+ю,Latin letter Q
\bR\b,ар,+ар,Latin letter R
\bS\b,эс,+эс,Latin letter S
\bT\b,ти,т+и,Latin letter T
\bU\b,ю,+ю,Latin letter U
\bV\b,ви,в+и,Latin letter V
\bW\b,дабл ю,д+абл +ю,Latin letter W
\bX\b,экс,+экс,Latin letter X
\bY\b,уай,у+ай,Latin letter Y
\bZ\b,зет,з+ет,Latin letter Z
#
# Single Latin letters (lowercase)
\ba\b,эй,+эй,Latin letter a
\bb\b,би,б+и,Latin letter b
\bc\b,си,с+и,Latin letter c
\bd\b,ди,д+и,Latin letter d
\be\b,и,+и,Latin letter e
\bf\b,эф,+эф,Latin letter f
\bg\b,джи,дж+и,Latin letter g
\bh\b,эйч,+эйч,Latin letter h
\bi\b,ай,+ай,Latin letter i
\bj\b,джей,дж+ей,Latin letter j
\bk\b,кей,к+ей,Latin letter k
\bl\b,эл,+эл,Latin letter l
\bm\b,эм,+эм,Latin letter m
\bn\b,эн,+эн,Latin letter n
\bo\b,оу,+оу,Latin letter o
\bp\b,пи,п+и,Latin letter p
\bq\b,кью,кь+ю,Latin letter q
\br\b,ар,+ар,Latin letter r
\bs\b,эс,+эс,Latin letter s
\bt\b,ти,т+и,Latin letter t
\bu\b,ю,+ю,Latin letter u
\bv\b,ви,в+и,Latin letter v
\bw\b,дабл ю,д+абл +ю,Latin letter w
\bx\b,экс,+экс,Latin letter x
\by\b,уай,у+ай,Latin letter y
\bz\b,зет,з+ет,Latin letter z
#
# Common technology/computing abbreviations with Latin letters
\bAPI\b,эй пи ай,+эй п+и +ай,API - Application Programming Interface
\bCPU\b,си пи ю,с+и п+и +ю,CPU - Central Processing Unit
\bGPU\b,джи пи ю,дж+и п+и +ю,GPU - Graphics Processing Unit
\bRAM\b,рам,р+ам,RAM - Random Access Memory
\bROM\b,ром,р+ом,ROM - Read-Only Memory
\bSSD\b,эс эс ди,+эс +эс д+и,SSD - Solid State Drive
\bHDD\b,эйч ди ди,+эйч д+и д+и,HDD - Hard Disk Drive
\bUSB\b,ю эс би,+ю +эс б+и,USB - Universal Serial Bus
\bHDMI\b,эйч ди эм ай,+эйч д+и +эм +ай,HDMI - High-Definition Multimedia Interface
\bWiFi\b,вай фай,в+ай ф+ай,WiFi - Wireless Fidelity
\bLAN\b,лан,л+ан,LAN - Local Area Network
\bWAN\b,ван,в+ан,WAN - Wide Area Network
\bVPN\b,ви пи эн,в+и п+и +эн,VPN - Virtual Private Network
\bDNS\b,ди эн эс,д+и +эн +эс,DNS - Domain Name System
\bHTTP\b,эйч ти ти пи,+эйч т+и т+и п+и,HTTP - HyperText Transfer Protocol
\bHTTPS\b,эйч ти ти пи эс,+эйч т+и т+и п+и +эс,HTTPS - HTTP Secure
\bFTP\b,эф ти пи,+эф т+и п+и,FTP - File Transfer Protocol
\bSSH\b,эс эс эйч,+эс +эс +эйч,SSH - Secure Shell
\bSQL\b,эс кью эл,+эс кь+ю +эл,SQL - Structured Query Language
\bHTML\b,эйч ти эм эл,+эйч т+и +эм +эл,HTML - HyperText Markup Language
\bCSS\b,си эс эс,с+и +эс +эс,CSS - Cascading Style Sheets
\bJSON\b,джейсон,дж+ейсон,JSON - JavaScript Object Notation
\bXML\b,экс эм эл,+экс +эм +эл,XML - eXtensible Markup Language
\bPDF\b,пи ди эф,п+и д+и +эф,PDF - Portable Document Format
\bJPEG\b,джейпег,дж+ейпег,JPEG - Joint Photographic Experts Group
\bPNG\b,пи эн джи,п+и +эн дж+и,PNG - Portable Network Graphics
\bGIF\b,гиф,г+иф,GIF - Graphics Interchange Format
\bMP3\b,эм пи три,+эм п+и тр+и,MP3 - MPEG Audio Layer 3
\bMP4\b,эм пи четыре,+эм п+и четыре,MP4 - MPEG-4 Part 14
\bAVI\b,эй ви ай,+эй в+и +ай,AVI - Audio Video Interleave
#
# Organizations and companies
\bNASA\b,наса,н+аса,NASA - National Aeronautics and Space Administration
\bNSA\b,эн эс эй,+эн +эс +эй,NSA - National Security Agency
\bFBI\b,эф би ай,+эф б+и +ай,FBI - Federal Bureau of Investigation
\bCIA\b,си ай эй,с+и +ай +эй,CIA - Central Intelligence Agency
\bNATO\b,нато,н+ато,NATO - North Atlantic Treaty Organization
\bUNESCO\b,юнеско,юн+еско,UNESCO - United Nations Educational Scientific and Cultural Organization
\bWHO\b,дабл эйч оу,д+абл +эйч +оу,WHO - World Health Organization
\bIMF\b,ай эм эф,+ай +эм +эф,IMF - International Monetary Fund
\bWTO\b,дабл ти оу,д+абл т+и +оу,WTO - World Trade Organization
\bIBM\b,ай би эм,+ай б+и +эм,IBM - International Business Machines
\bHP\b,эйч пи,+эйч п+и,HP - Hewlett-Packard
\bIT\b,ай ти,+ай т+и,IT - Information Technology
\bPC\b,пи си,п+и с+и,PC - Personal Computer
\bTV\b,ти ви,т+и в+и,TV - Television
\bDVD\b,ди ви ди,д+и в+и д+и,DVD - Digital Versatile Disc
\bCD\b,си ди,с+и д+и,CD - Compact Disc
\bAC\b,эй си,+эй с+и,AC - Alternating Current
\bDC\b,ди си,д+и с+и,DC - Direct Current
\bAM\b,эй эм,+эй +эм,AM - Amplitude Modulation
\bFM\b,эф эм,+эф +эм,FM - Frequency Modulation
\bGPS\b,джи пи эс,дж+и п+и +эс,GPS - Global Positioning System
\bSMS\b,эс эм эс,+эс +эм +эс,SMS - Short Message Service
\bMMS\b,эм эм эс,+эм +эм +эс,MMS - Multimedia Messaging Service
\bGSM\b,джи эс эм,дж+и +эс +эм,GSM - Global System for Mobile Communications
\bLTE\b,эл ти и,+эл т+и +и,LTE - Long-Term Evolution
\b4G\b,четыре джи,четыре дж+и,4G - Fourth Generation
\b5G\b,пять джи,пять дж+и,5G - Fifth Generation
\bAI\b,эй ай,+эй +ай,AI - Artificial Intelligence
\bML\b,эм эл,+эм +эл,ML - Machine Learning
\bVR\b,ви ар,в+и +ар,VR - Virtual Reality
\bAR\b,эй ар,+эй +ар,AR - Augmented Reality
#
# Automotive and transport
\bSUV\b,эс ю ви,+эс +ю в+и,SUV - Sport Utility Vehicle
\bABS\b,эй би эс,+эй б+и +эс,ABS - Anti-lock Braking System
\bESP\b,и эс пи,+и +эс п+и,ESP - Electronic Stability Program
\bGPS\b,джи пи эс,дж+и п+и +эс,GPS - Global Positioning System
#
# Medical and science
\bDNA\b,ди эн эй,д+и +эн +эй,DNA - Deoxyribonucleic Acid
\bRNA\b,ар эн эй,+ар +эн +эй,RNA - Ribonucleic Acid
\bHIV\b,эйч ай ви,+эйч +ай в+и,HIV - Human Immunodeficiency Virus
\bAIDS\b,эйдс,+эйдс,AIDS - Acquired Immune Deficiency Syndrome
\bCOVID\b,ковид,к+овид,COVID - Coronavirus Disease
\bMRI\b,эм ар ай,+эм +ар +ай,MRI - Magnetic Resonance Imaging
\bCT\b,си ти,с+и т+и,CT - Computed Tomography
\bECG\b,и си джи,+и с+и дж+и,ECG - Electrocardiogram
\bEKG\b,и кей джи,+и к+ей дж+и,EKG - Electrocardiogram (German)
#
# Business and finance
\bCEO\b,си и оу,с+и +и +оу,CEO - Chief Executive Officer
\bCFO\b,си эф оу,с+и +эф +оу,CFO - Chief Financial Officer
\bCTO\b,си ти оу,с+и т+и +оу,CTO - Chief Technology Officer
\bCOO\b,си оу оу,с+и +оу +оу,COO - Chief Operating Officer
\bHR\b,эйч ар,+эйч +ар,HR - Human Resources
\bPR\b,пи ар,п+и +ар,PR - Public Relations
